Atualizado em: 2026-04-06
"ICAO";"Estrangeira";"Razao";"Servico";"Endereco";"Cidade";"UF";"CEP";"Telefone";"Email";"Instrumento";"Data";"Ativa"
"";"..";"BF AGRO AERO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RODOVIA MT 010, KM 40, S/N, ZONA RURAL";"TAPURAH";"MT";"78.573-000";".";"contabilidade@ottimizacontabil.com";"PORTARIA Nº 11.796, DE 3 DE JULHO DE 2023";"7/10/2023 12:00:00 AM";"ATIVA"
"";"..";"P.A MARKETING AÉREO LTDA";"AEROPUBLICIDADE";"RUA PROFESSOR ELPIDIO BARBOSA, 235, TRINDADE";"FLORIANÓPOLIS";"SC";"88.036-300";"(48) 99904 5528​";"pauloperotto@gmail.com";"PORTARIA Nº 7957, DE 06 DE MAIO DE 2022";"5/6/2022 12:00:00 AM";"ATIVA"
"";"..";"PILOTO PADRÃO TÁXI AÉREO E SERVIÇOS DE MANUTENÇÃO AERONÁUTICA LTDA ME";"AEROCINEMATOGRAFIA, AEROLEVANTAMENTO, AEROPUBLICIDADE, AEROREPORTAGEM, LANÇAMENTO DE PARAQUEDISTAS, VOOS PANORÂMICOS";"RODOVIA PRESIDENTE DUTRA, Nº 20.629 - HELIPONTO SWET - COMENDADOR SOARES";"NOVA IGUAÇU";"RJ";"26.285-000";".";"kferreira90@gmail.com";"PORTARIA Nº 11.799, DE 3 DE JULHO DE 2023";"7/11/2023 12:00:00 AM";"ATIVA"
"";"..";"AERORIO AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"ROD. BR 135 KM 174 S/N, CENTRO";"SÃO MATEUS DO MARANHÃO";"MA";"65.470-000";".";".";"PORTARIA Nº 11.987, DE 26 DE JULHO DE 2023";"8/1/2023 12:00:00 AM";"ATIVA"
"";"..";"BARROCO LOPES ESCOLA DE AVIAÇÃO CIVIL LTDA";"VOOS PANORÂMICOS";"ESTRADA HILDEBRANDO ALVES BARBOSA, SN - AJUDA DE CIMA";"MACAÉ";"RJ";"27.963-774";".";"barroco122@yahoo.com.br / edimilsonguedes@alphaconsultoria.com";"PORTARIA N° 10.807, DE 22 DE MARÇO DE 2023";"3/28/2023 12:00:00 AM";"ATIVA"
"";"..";"SANTA VITÓRIA AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA SETE DE SETEMBRO, 1333 - CENTRO";"SANTA VITÓRIA DO PALMAR";"RS";"96.230-000";"(53) 3263 4546 / (53) 99710 0604";"agricolavitoria@terra.com.br";"PORTARIA Nº 10.629/SPO, DE 28 DE FEVEREIRO DE 2023.";"3/3/2023 12:00:00 AM";"ATIVA"
"";"..";"VK AVIATION ESCOLA DE AVIAÇÃO CIVIL, PRESTADORA DE SERVIÇOS AÉREOS ESPECIALIZADOS, AEROAGRÍCOLAS E MANUTENÇÃO AERONÁUTICA LTDA.";"AEROCINEMATOGRAFIA, AERODEMONSTRAÇÃO, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROLEVANTAMENTO, AEROPUBLICIDADE, AEROREPORTAGEM, VOOS PANORÂMICOS";"RODOVIA JOÃO MELÃO - SP255, KM 265 - CX POSTAL 257";"AVARÉ";"SP";"18.704-201";"(11) 996259-8100 / (11) 9804210-0000";"turquettes@hotmail.com / vk.aviation@hotmail.com";"PORTARIA Nº 10.196, DE 5 DE JANEIRO DE 2023";"1/12/2023 12:00:00 AM";"ATIVA"
"";"..";"FLYUNI TÁXI AÉREO LTDA";"TÁXI-AÉREO";"ROD BR 101, 137, KM 156, HANGAR 137, SERTÃO DE SANTA LUZIA";"PORTO BELO";"SC";"88.210-000";"(47) 99195-6565";"nfe@flyuni.com.br";"PORTARIA Nº 9.847, DE 23 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"TÁXI AÉREO CONFIANÇA LTDA.";"TÁXI-AÉREO";"PRAÇA BRIGADEIRO EDUARDO GOMES S/N - TERMINAL DE AVIÇÃO GERAL - TAG - TÉRREO - SALA 01";"FORTALEZA";"CE";"60.420-290";"TEL: (85) 3527-2121 FAX: (85) 3272-1895";"N/I";"PORTARIA Nº 12.049, DE 4 DE AGOSTO DE 2023";"8/8/2023 12:00:00 AM";"ATIVA"
"";"..";"NATIVA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"AVENIDA ÂNGELO SANTI,1620 BAIRRO INDUSTRIAL";"SANTO AUGUSTO";"RS";"98.590-000";"(55) 37811819 / (54) 999474053";"nativakna@hotmail.com";"PORTARIA Nº 10.331, DE 20 DE JANEIRO DE 2023";"1/26/2023 12:00:00 AM";"ATIVA"
"";"..";"SPEED AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"ESTRADA PRESIDENTE BERNARDES S/N";"NOVA MONTE VERDE";"MT";"78.593-000";".";"";"PORTARIA Nº 12.325, DE 28 DE AGOSTO DE 2023";"8/31/2023 12:00:00 AM";"ATIVA"
"";"";"AERO AGRÍCOLA CAMPO FÉRTIL LTDA";"AEROAGRÍCOLA";"RUA TRA G - ANTÔNIO GONZAGA DE ALMEIDA, 1501 SET 16 LT 10A - BELA VISTA";"VILHENA";"RO";"76.982-108";"(69)99914-1304";"aerocampofertil@gmail.com";"Portaria 17433";"7/15/2025 12:00:00 AM";"ATIVA"
"";"..";"FLYNOW TÁXI AÉREO LTDA";"TÁXI-AÉREO";"RUA GOMES DE CARVALHO, Nº 1195, SALA 101, VILA OLÍMPIA";"SÃO PAULO";"SP";"04.547-004";".";"pr-mlr@hotmail.com";"PORTARIA Nº 12.142, DE 14 DE AGOSTO DE 2023";"8/21/2023 12:00:00 AM";"ATIVA"
"MWM";"WD";"MODERN TRANSPORTE AEREO DE CARGA S.A";"TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR";"AVENIDA PREFEITO LUIZ LATORRE, Nº 9450, CONDOMINIO MASTER BUSINESS PARK, GALPÃO 17, SALA 1, VILA DAS HORTÊNCIAS";"JUNDIAÍ";"SP";"13.209-430";"(21) 2272-9272 / (11) 31096750";"juridico@modern.com.br";"PORTARIA Nº 9.933, DE 5 DE DEZEMBRO DE 2022";"12/9/2022 12:00:00 AM";"ATIVA"
"";"..";"AGD AVIATION ESCOLA DE AVIAÇÃO CIVIL LTDA";"VOOS PANORÂMICOS";"AV OLAVO FONTOURA, 1078 - HANGAR MARTE UPDATE, SALA 09";"SÃO PAULO";"SP";"02.012-021";"(11) 2221-5398";"secretaria@agdaviation.com.br";"PORTARIA Nº 8.107, DE 23 DE MAIO DE 2022";"5/31/2022 12:00:00 AM";"ATIVA"
"";"..";"VALE DO IVAÍ AVIAÇÃO AGRÍCOLA EIRELI";"AEROAGRÍCOLA";"RUA D. PEDRO II, 293 - CENTRO";"ENGENHEIRO BELTRÃO";"PR";"87.270-000";"(44) 3537-2933";"valedoivaiaviacao@gmail.com";"PORTARIA Nº 7.688";"3/30/2022 12:00:00 AM";"ATIVA"
"";"..";"AVIAÇÃO AGRÍCOLA BUTTARELLO LTDA.";"AEROAGRÍCOLA";"RODOVIA MGT 154, KM 21";"CAPINÓPOLIS";"MG";"38.360-000";"(34) 991 04 9863 / (34) 996 62 8749 / (34) 998 01 8369 / (16) 3262-2344";"wbuttarello@yahoo.com.br";"PORTARIA Nº 8266, DE 07 DE JUNHO DE 2022";"6/7/2022 12:00:00 AM";"ATIVA"
"";"..";"SERVICE PREMIUM AIR - TAXI AEREO SOCIEDADE EMPRESARIA LTDA";"TÁXI-AÉREO";"ESTRADA DO ITAQUI, Nº 1508, SALA 02, HANGAR, BAIRRO JARDIM BELVAL";"BARUERI";"SP";"06.423-070";".";"diretoria@spairtaxiaereo.com.br";"PORTARIA Nº 12.722, DE 5 DE OUTUBRO DE 2023";"10/16/2023 12:00:00 AM";"ATIVA"
"";".";"TAF - TÁXI AÉREO FORTALEZA LTDA.";"TÁXI-AÉREO";"PRAÇA BRIGADEIRO EDUARDO GOMES, S/N, AEROPORTO PINTO MARTINS, HANGAR DA TAF";"FORTALEZA";"CE";"60.421-970";"TEL: (85) 3277-8031 FAX: (85) 3277-8032";"N/I";"Portaria nº 12.657";"10/2/2023 12:00:00 AM";"ATIVA"
"";"..";"PLANT AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"AVENIDA GAIVOTA, Nº 643, BAIRRO JARDIM MORADA DA SERRA";"PONTES E LACERDA";"MT";"78.250-000";".";"plant.avag@gmail.com";"Portaria nº 12.710";"10/5/2023 12:00:00 AM";"ATIVA"
"";"..";"GUAPORÉ AVIAÇÃO AGRÍCOLA E TRANSPORTE RODOVIÁRIO DE CARGAS LTDA";"AEROAGRÍCOLA";"RUA DAS MANGUEIRAS, 378 E, CENTRO";"COMODORO";"MT";"78.310-000";"(65) 3283-1269​";"guaporeaero@hotmail.com";"PORTARIA Nº 12.681, DE 3 DE OUTUBRO DE 2023";"10/16/2023 12:00:00 AM";"ATIVA"
"";"..";"DINÂMICA AVIAÇÃO AGRÍCOLA";"AEROAGRÍCOLA";"AV. MÁRIO CORREA, 730, CONJUNTO SAN RAPHAEL";"MARACAJU";"MS";"79.150-000";"(67) 9972-1797";"dinamicaaviacao@outlook.com";"PORTARIA Nº 12.768, DE 10 DE OUTUBRO DE 2023";"10/19/2023 12:00:00 AM";"ATIVA"
"";"..";"VILHENA AERO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"AV. MATO GROSSO, Nº 845, QD. 112, LT. 28, BAIRRO NOVA CANARANA";"ABARÉ";"MT";"78.640-000";".";"vilhena.aeroagricolamt@hotmail.com";"PORTARIA Nº 13.440, DE 20 DE DEZEMBRO DE 2023";"12/26/2023 12:00:00 AM";"ATIVA"
"";"..";"AMAZING AVIACAO E PULVERIZACAO AGRICOLA LTDA";"AEROAGRÍCOLA";"RUA TERCIO TEIXEIRA MACHADO, Nº 1615, CENTRO ";"COSTA RICA";"MS";"79.550-000";".";"contato@ejraero.com.br";"PORTARIA Nº 13.040, DE 31 DE OUTUBRO DE 2023";"11/6/2023 12:00:00 AM";"ATIVA"
"";"..";"HELISUL EXPERIENCE LTDA (EX. YAPÓ AEROTÁXI LTDA)";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROPUBLICIDADE, AEROREPORTAGEM, COMBATE A INCÊNDIOS, SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS, TÁXI-AÉREO";"RODOVIA CURITIBA PONTA GROSSA ,BR 277, 170 - PARQUE BARIGUI";"CURITIBA";"PR";"82.305-100";"(41) 3521-3636";"val@helisul.com / jacobs@helisul.com / gso@helisul.com     ";"PORTARIA Nº 7.751";"4/6/2022 12:00:00 AM";"ATIVA"
"";"..";"M STEINMETZ AERO AGRICOLA LTDA";"AEROAGRÍCOLA";"RODOVIA PA-125, KM 19,5, S/N, AEROPORTO MUNICIPAL, HANGAR MS, JARDIM CAMBOATA II";"PARAGOMINAS";"PA";"68.625-620";".";"marcossteinmetz@live.com";"PORTARIA Nº 13.041, DE 31 DE OUTUBRO DE 2023";"11/6/2023 12:00:00 AM";"ATIVA"
"";"..";"HELIVIP SERVIÇOS EM AERONÁUTICA LTDA";"TÁXI-AÉREO";"AV. AYRTON SENNA, 2541 - RUA D2, HANGAR 4, SALAS 3 E 4 - BARRA DA TIJUCA ";"RIO DE JANEIRO";"RJ";"22.775-002";".";"betomalaguti@gmail.com";"PORTARIA Nº 13.011, DE 30 DE OUTUBRO DE 2023";"11/6/2023 12:00:00 AM";"ATIVA"
"";"..";"BOM SUCESSO AVIACAO AGRICOLA LTDA";"AEROAGRÍCOLA";"TRAVESSA B, N. 172, JARDIM FLORESTA";"BOA VISTA";"RR";"69.312-112";".";"aglustosa@hotmail.com ";"PORTARIA Nº 13.047, DE 1º DE NOVEMBRO DE 2023";"11/9/2023 12:00:00 AM";"ATIVA"
"";"..";"MANAB MANUTENCAO DE AERONAVES BRASIL LTDA";"AEROAGRÍCOLA";"RODOVIA TO 222, KM 12, BOX HANGAR MANAB, S/N, ZONA RURAL";"ARAGUAÍNA";"TO";"77.839-400";".";"manabrasil@gmail>com";"PORTARIA Nº 13.048, DE 1º DE NOVEMBRO DE 2023";"11/9/2023 12:00:00 AM";"ATIVA"
"";"..";"AEROCLUBE DE BIRIGUI";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";" ROD. DEPUTADO ROBERTO ROLLEMBERG";"BIRIGUI";"SP";"16.204-174";"(18) 36431228 / (18) 997434708";"aerobiri@terra.com.br";"Decisão n° 400";"8/25/2021 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRICOLA VALE DO GUAPORÉ LTDA";"AEROAGRÍCOLA";"RUA DOS LÍRIOS, 240 SW, SIDEZAL 7";"SAPEZAL";"MT";"78.365-000";"(65) 99956-0671";"aeroagricolavaledoguapore21@gmail.com";"PORTARIA Nº 8191, DE 30 DE MAIO DE 2022";"5/30/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO BRASIL AVIACAO AGRICOLA LTDA";"AEROAGRÍCOLA";"AVENIDA CRISTO REDENTOR S/Nº, BAIRRO RESIDENCIAL RIO DE JANEIRO, LT 14 QDR 23";"GUARANTÃ DO NORTE";"MT";"78.520-000";".";"diogoeng.agronomo@hotmail.com";"PORTARIA Nº 14.158, DE 21 DE MARÇO DE 2024";"3/26/2024 12:00:00 AM";"ATIVA"
"";"";"M. PIVA LTDA (FANTASIA - IPE AEROAGRICOLA)";"AEROAGRÍCOLA";"AVENIDA COLONIZADOR JOSÉ BIANCHINI, Nº 1142, CENTRO ";"MARCELÂNDIA";"MT";"78.535-000";".";".";"Portaria nº 16100, DE 27 de dezembro de 2024";"1/2/2025 12:00:00 AM";"ATIVA"
"";"";"AEROCLUBE DE PERNAMBUCO - ESCOLA DE AVIAÇÃO";"VOOS PANORÂMICOS";"ESTRADA DE NOVA CRUZ (RODOVIA PE-014), KM 2,6 - AERÓDROMO COROA DO AVIÃO - CRUZ DE REBOUÇAS";"IGARASSU";"PE";"53.620-255";"(81) 99237-8312";"acpefinanceiro@gmail.com";"Portaria nº 17435";"7/15/2025 12:00:00 AM";"ATIVA"
"";"..";"JUSARAH AEROAGRÍCOLA LTDA";"AEROAGRÍCOLA";"ESTRADA LINHA 2, 3º PARA 2º EIXO, LOTE 09-R2";"CEREJEIRAS";"RO";"76.997-000";"(69) 9 9325-7000 / (65) 9 9933-9438";"financeiro@voejusarah.com";"PORTARIA Nº 9.839, DE 23 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"CENTRO DE INSTRUÇÃO DE AVIAÇÃO CIVIL GUAIRACÁ LTDA";"VOOS PANORÂMICOS";"RUA QUINZE DE NOVEMBRO, Nº 7050, SALA 3A";"GUARAPUAVA";"PR";"85.010-000";".";".";"PORTARIA Nº 10.105, DE 21 DE DEZEMBRO DE 2022";"12/26/2022 12:00:00 AM";"ATIVA"
"";"..";"ANTÔNIO DIAS DE OLIVEIRA - ME";"VOOS PANORÂMICOS";"VIA RAMON, SALA 04, RAMON";"SÃO LOURENÇO";"MG";"37.470-000";".";".";"PORTARIA Nº 10.455, DE 3 DE FEVEREIRO DE 2023";"2/14/2023 12:00:00 AM";"ATIVA"
"";"..";"LUZ DO AMANHECER AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA, COMBATE A INCÊNDIOS";"ROD. GO 407 ANEL VIÁRIO, S/N, ZONA RURAL";"SANTA HELENA DE GOIÁS";"GO";"75.920-000";"(64) 999205-9902";"johnderik2023@gmail.com";"Portaria nº 12.662";"10/16/2023 12:00:00 AM";"ATIVA"
"";"..";"MAPE AERO AGRICOLA LTDA";"AEROAGRÍCOLA";"AVENIDA ARAGUAIA, NO 93, QD. 03, LT. 12, SERRA DOURADA";"ACREÚNA";"GO";"75.960-000";".";"aero.mape@gmail.com";"PORTARIA Nº 13.049, DE 1º DE NOVEMBRO DE 2023";"11/9/2023 12:00:00 AM";"ATIVA"
"";"..";"AEROPIRA AEROAGRÍCOLA LTDA";"AEROAGRÍCOLA";"AVENIDA COMANDANTE SANTIAGO DANTAS, Nº 664, CENTRO ";"PIRAPORA";"MG";"39.270-094";".";"brunolsantos@yahoo.com.br";"PORTARIA Nº 13.094, DE 8 DE NOVEMBRO DE 2023";"11/22/2023 12:00:00 AM";"ATIVA"
"";"..";"AEROCLUBE DE LAGES";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"BR 282, KM 04, S/N, BAIRRO VILA MARIZA";"LAGES";"SC";"88.508-650";"(49) 99840-98240";"   aeroclubedelages_1942@yahoo.com.br  ";"DECISÃO 428";"10/6/2021 12:00:00 AM";"ATIVA"
"";"..";"AERONEW TECNOLOGIA EM APLICAÇÃO AÉREA LTDA";"AEROAGRÍCOLA";"AVENIDA JK, 3563, SALA 14, JARDIM IMPERIAL";"LUÍS EDUARDO MAGALHÃES";"BA";"47.864-088";".";"ga-regio@hotmail.com";"PORTARIA Nº 13.163, DE 16 DE NOVEMBRO DE 2023";"11/22/2023 12:00:00 AM";"ATIVA"
"";"..";"ÁGUIA ESCOLA DE AVIAÇÃO CIVIL LTDA";"VOOS PANORÂMICOS";"AV. CASTELO BRANCO, 16492, INCRA - 1º ANDAR SL A";"CACOAL";"RO";"76.965-894";"(69) 8112-7580";"rafael@violatoecia.com.br";"PORTARIA Nº 8.512, DE 7 DE JULHO DE 2022";"7/25/2022 12:00:00 AM";"ATIVA"
"";"..";"CARAJÁS AERO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA T38, Nº 609, QUADRA129 LOTE 12/13 APT 100, SET BUENO";"GOIÂNIA";"GO";"74.223-042";".";"angelonadai07@gmail.com";"PORTARIA Nº 13.105, DE 9 DE NOVEMBRO DE 2023";"11/22/2023 12:00:00 AM";"ATIVA"
"";"..";"FRANCO AVIACOES LTDA";"AEROAGRÍCOLA";"AVENIDA SÃO PAULO, 1460, CENTRO, GALERIA NITRO – PISO II – SALA 3 ";"SÃO JOSÉ DOS QUATRO MARCOS";"MT";"78.285-000";".";"fabricioolimpia@hotmail.com";"PORTARIA Nº 13.118, DE 13 DE NOVEMBRO DE 2023";"11/22/2023 12:00:00 AM";"ATIVA"
"";"..";"NCM AEROAGRICOLA LTDA";"AEROAGRÍCOLA";"RUA PERIMETRAL COM A MARGINAL DIREITA, Nº SN, QUADRAD 06 A LOTE 02 SALA 01, SAO JOSE I ";"FORMOSO DO ARAGUAIA";"TO";"77.470-000";".";"aerocont@hotmail.com";"Portaria 13192, de 21/11/2023";"11/23/2023 12:00:00 AM";"ATIVA"
"";"..";"OPALAIR TÁXI AÉREO LTDA.";"AEROMÉDICO, TÁXI-AÉREO";"AVENIDA PLÁCIDO DE CASTRO, Nº 769, CARANAZAL";"SANTARÉM";"PA";"68.040-090";"(93) 991226457";"opalairtaxiaereo@gmail.com";"PORTARIA Nº 8.646, DE 21 DE JULHO DE 2022";"7/25/2022 12:00:00 AM";"ATIVA"
"";"..";"FERMAC AIR SERVICE LTDA";"AEROFOTOGRAFIA, AEROPUBLICIDADE, AEROREPORTAGEM, VOOS PANORÂMICOS";"R. SYLVIA DA SILVA BRAGA, 415 HANGAR 8 SALA 02 AEROPORTO DOS AMARAIS";"CAMPINAS";"SP";"13.082-105";".";"fermacairservice@gmail.com";"Portaria nº 15493, DE 19 de setembro de 2024";"10/1/2024 12:00:00 AM";"ATIVA"
"";"..";"BE FASTER SERVICOS AEREOS LTDA";"VOOS PANORÂMICOS";"AVENIDA DAS AMÉICAS Nº 3500 - SALA 330, BL. 4, BARRA DA TIJUCA ";"RIO DE JANEIRO";"RJ";"22.640-102";".";"befastersae@gmail.com";"Portaria nº 13193, DE 21 de novembro de 2023";"11/23/2023 12:00:00 AM";"ATIVA"
"";"..";"AVA SERVICOS AEREOS ESPECIALIZADOS LTDA";"VOOS PANORÂMICOS";"AVENIDA BRASILIA, Nº 17, LOJA A, CENTRO";"BARREIRINHAS";"MA";"65.590-000";".";"voeava@hotmail.com";"PORTARIA Nº 13.222, DE 24 DE NOVEMBRO DE 2023";"11/24/2023 12:00:00 AM";"ATIVA"
"";"..";"FALCONI AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA CORREIA MACHADO, 1.025, ED. PREMIER CENTER, CENTRO";"MONTES CLAROS";"MG";"39.400-090";"(38)32143367";"contabilidademiriam@hotmail.com";"PORTARIA Nº 13.185, DE 20 DE NOVEMBRO DE 2023";"11/22/2023 12:00:00 AM";"ATIVA"
"";"..";"ALTEMIR DA SILVA BRAZ AVIAÇÃO AGRÍCOLA EIRELI";"AEROAGRÍCOLA";"BECO MANOEL, Nº 4800, BAIRRO VILA FREI SEBASTIÃO";"PALMARES DO SUL";"RS";"95.540-000";"(51) 9561-7778";"aerobrazz@gmail.com";"PORTARIA Nº 9.124, DE 12 DE SETEMBRO DE 2022";"9/16/2022 12:00:00 AM";"ATIVA"
"";"..";"SOCIEDADE EMPRESÁRIA EDUCACIONAL BRASIL SUL LTDA";"VOOS PANORÂMICOS";"RUA HEITOR STOCKLER DE FRANÇA, 396 - CJ. 912 - CENTRO CÍVICO";"CURITIBA";"PR";"80.030-030";"(41) 3031-3063";"paulorpalhanof@gmail.com";"PORTARIA Nº 12.721, DE 5 DE OUTUBRO DE 2023";"10/16/2023 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRÍCOLA BOM JESUS LTDA";"AEROAGRÍCOLA";"RUA JASMIM, Nº 10, QUADRA 22, SALA 03, SÃO PEDRO";"BOM JESUS";"PI";"64.900-000";"(65) 9927-8091";"aeroagricolabj@gmail.com";"PORTARIA Nº 9.111, DE 8 DE SETEMBRO DE 2022";"9/13/2022 12:00:00 AM";"ATIVA"
"";"..";"INOVAER SERVIÇOS AGRÍCOLAS LTDA";"AEROAGRÍCOLA";"D.T. SÃO RAFAEL, S/Nº, INTERIOR";"MATA";"RS";"97.410-000";"(55) 99652-9191";"inovaerservicosagricolas@hotmail.com";"PORTARIA Nº 10.217, DE 9 DE JANEIRO DE 2023";"1/17/2023 12:00:00 AM";"ATIVA"
"";"..";"J. M. MORANDI - SERVIÇOS DE PILOTO";"AEROAGRÍCOLA";"FAZENDA SANTO ANTONIO, ZONA RURAL  ";"GUARACI";"PR";"86.620-000";"(43)9166-7181";"escritorioavenida@yahoo.com.br";"Portaria 13196, de 21/11/2023";"11/23/2023 12:00:00 AM";"ATIVA"
"";"..";"LL AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"FAZ. LAGOA BAÍA DA SAUDADE, ROD. MT-100 - KM15";"COCALINHO";"MT";"78.680-000";"(67) 8411-5690";"geraldo.glagro@gmaíl.com";"PORTARIA Nº 8024, DE 11 DE MAIO DE 2022";"5/11/2022 12:00:00 AM";"ATIVA"
"";"..";"CLARIN SERVIÇOS AÉREOS ESPECIALIZADOS LTDA (ANTIGA MARESIAS)";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROPUBLICIDADE, AEROREPORTAGEM";"AV. OLAVO FONTOURA, Nº 1078, HANGAR FONTOURA, SALA 19B, SANTANA";"SÃO PAULO";"SP";"02.012-021";"(11) 971651936";"clarin@clarinsae.com";"PORTARIA Nº 10.233, DE 10 DE JANEIRO DE 2023";"1/17/2023 12:00:00 AM";"ATIVA"
