Atualizado em: 2026-09-14
"ICAO";"Estrangeira";"Razao";"Servico";"Endereco";"Cidade";"UF";"CEP";"Telefone";"Email";"Instrumento";"Data";"Ativa"
"LSI";"CP";"MSC AIR S.P.A.";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 - GRUPO 905/908";"RIO DE JANEIRO";"RJ";"00.000-000";"000";"ops@aeromartel.com.br";"Ofício nº 147/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13700969)";"8/5/2026 12:00:00 AM";"ATIVA"
"USY";"XG";"USC GMBH";"ESTRANGEIRA NÃO REGULAR";"ALAMEDA SANTOS, 2224 - 2º ANDAR - CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"01.418-200";"11 3061-1620 e 21 99974-5708";"luisa@diciero.adv.br";"Ofício nº 91/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13248129)";"5/13/2026 12:00:00 AM";"ATIVA"
"LNE";"XL";"LATAM AIRLINES ECUADOR S.A.";"ESTRANGEIRA REGULAR";"RUA GENERAL PANTALEÃO TELES N 210, PARQUE JABAQUARA";"SÃO PAULO";"SP";"04.355-040";"(11) 5582-9642/ (11) 98448-0031";"diogo.elias@latam.com";"";"7/19/2024 12:00:00 AM";"ATIVA"
"VCV";"VO";"CONSORCIO VENEZOLANO DE INDUSTRIAS AERONAUTICAS Y SERVICIOS AÉREOS S.A., CONVIASA";"ESTRANGEIRA REGULAR";"RUA GENERAL JARDIM, 60 - VILA BUARQUE";"SÃO PAULO";"SP";"01.223-010";"92 99210-1958 ; 41 992469124";"davidsanzonettu@gmail.com; occ@flightsupportbrazil.com";"";"2/28/2025 12:00:00 AM";"ATIVA"
"SWR";"LX";"SWISS INTERNATIONAL AIR LINES LTD.";"ESTRANGEIRA REGULAR";"RUA GOMES DE CARVALHO, Nº 1108, 6º ANDAR - VILA OLIMPIA";"SÃO PAULO";"SP";"04.547-004";"(11) 3048-5867 / (11) 3048-5822 / 3048-5897";"felipe.bonifatti@dlh.de";"";"null";"ATIVA"
"JAP";"JZ";"JETSMART AIRLINES PERÚ SAC.";"ESTRANGEIRA NÃO REGULAR";"RUA JORNALISTA PIERRE PLANCHER 280/501";"RIO DE JANEIRO";"RJ";"00.000-000";"000";"luisa@diciero.adv.br";"Ofício nº 114/2026/GEAM Empresas/GEAM/SAS-ANAC";"6/8/2026 12:00:00 AM";"ATIVA"
"HFY";"5K";"SPRINGJET S.A. (EX -HI FLY - TRANSPORTES AÉREOS S/A.)";"ESTRANGEIRA NÃO REGULAR";"RUA PEREIRA FILGUEIRAS, 2020 - SALA 705 - ALDEOTA";"FORTALEZA";"CE";"60.160-194";"(85) 9621-2310/Fax (85) 3224-0704 ";"gcaracas@terra.com.br";"Ofício nº 10/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 12727607)";"1/29/2026 12:00:00 AM";"ATIVA"
"CMA";"2C";"CMA CGM AIR CARGO";"ESTRANGEIRA NÃO REGULAR";"RUA TUIUTI, 506-508 – CENTRO";"INDAIATUBA";"SP";"13.339-010";"41 992469124";"occ@flightsupportbrazil.com";"Ofício nº 118/2026/GEAM Empresas/GEAM/SAS-ANAC";"6/11/2026 12:00:00 AM";"ATIVA"
"ARU";"AG";"ARUBA AIRLINES";"ESTRANGEIRA NÃO REGULAR";"RUA DA GLÓRIA 634 BAIRRO CENTRO";"JUAZEIRO DO NORTE";"CE";"00.000-000";"(88) 98876-4565";"suportaereo.avanso@protonmail.com";"Ofício nº 160/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13826807)";"9/8/2026 12:00:00 AM";"ATIVA"
"HFL";"LT";"LEAF – LEASE & FLY LTD.";"ESTRANGEIRA NÃO REGULAR";"RUA PEREIRA FILGUEIRAS, N° 2020, SALA 705";"FORTALEZA";"CE";"60.160-194";"000";"gcaracas@hifly.aero";"Ofício nº 12/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 12728146)";"1/29/2026 12:00:00 AM";"ATIVA"
"TSC";"TS";"AIR TRANSAT A.T. INC DO BRASIL";"ESTRANGEIRA REGULAR";"RUA VIEIRA DE MORAIS, 1111- CONJUNTO 302 - CAMPO BELO";"SÃO PAULO";"SP";"04.617-014";"(11) 98981-3809 ";"cinthya.perez@crrepresentacao.com";"";"7/22/2025 12:00:00 AM";"ATIVA"
"AWC";"ZT";"TITAN AIRWAYS";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 – GRUPO 905/908 – CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"(21)2524-2446/ (21)98148-6698";"ops@aeromartel.com.br";"Ofício nº 200/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 12286115)";"11/3/2025 12:00:00 AM";"ATIVA"
"QTR";"QR";"QATAR AIRWAYS GROUP";"ESTRANGEIRA REGULAR";"ALAMEDA SANTOS, 787, 12º ANDAR, ESCRITÓRIO 122, CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"01.419-001";"(11) 2575-3010";"rhagopian@br.qatarairways.com";"";"null";"ATIVA"
"PXA";"P3";"PECOTOX AIR";"ESTRANGEIRA NÃO REGULAR";"AV. FRANCISCO GLICÉRIO 2331, TÉRREO, SALA 01";"CAMPINAS";"SP";"0";"N/I";"morellivanderlei@gmail.com; vmorelli@platinumglobal.com.br";"Ofício nº 163/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13832681)";"9/8/2026 12:00:00 AM";"ATIVA"
"LVL";"LL";"FLY LEVEL BARCELONA LH, SL";"ESTRANGEIRA NÃO REGULAR";"RUA TUIUTI, 506-508 - CENTRO";"INDAIATUBA";"SP";"13.339-010";"41 992469124";"occ@flightsupportbrazil.com";"Ofício nº 127/2026/GEAM Empresas/GEAM/SAS-ANAC";"6/29/2026 12:00:00 AM";"ATIVA"
"KLM";"KL";"KLM CIA. REAL HOLANDESA DE AVIAÇÃO";"ESTRANGEIRA REGULAR";"RUA GOMES DE CARVALHO, 1629, SALAS 304 E 305  VILA OLÍMPIA";"SÃO PAULO";"SP";"04.547-006";"(11) 5180-5100";"societario@premiersolutions.com.br/maazevedo@airfrance.fr/maflahault@airfrance.fr";"";"null";"ATIVA"
"AZA";"";"ALITALIA SOCIETA AEREA ITALIANA S.P.A.";"ESTRANGEIRA REGULAR";"AVENIDA SÃO LUIS -  NUMERO 50  CONJ 291  - 29 ANDAR PARTE A  CENTRO ";"SÃO PAULO";"SP";"01.046-000";"(11) 3661-0681 / (11) 3661-6591";"priscilazanetti@asbz.com.br; thiagocarvalho@asbz.com.br";"";"null";"ATIVA"
"HGO";"HC";"ONE AIR LIMITED";"ESTRANGEIRA NÃO REGULAR";"RUA PRESIDENTE JOÃO GOULART 529, JARDIM CHAPADÃO ";"CAMPINAS";"SP";"13.070-060";"19 99136-9264 e 19 99596-9494";"vmorelli@platinumglobal.com.br; morellivanderlei@gmail.com";"Ofício nº 83/2026/GEAM Empresas/GEAM/SAS-ANAC";"5/4/2026 12:00:00 AM";"ATIVA"
"QFA";"QF";"QANTAS AIRWAYS";"ESTRANGEIRA NÃO REGULAR";"RUA VIEIRA DE MORAIS, 1111 – CJ 302 – SÃO PAULO – SP ";"SÃO PAULO";"SP";"00.000-000";"cinthya.perez@crrepresentacao.com";"N/I";"Ofício nº 30/2026/GEAM Empresas/GEAM/SAS-ANAC";"2/19/2026 12:00:00 AM";"ATIVA"
"UCG";"U7";"UNIWORLD AIR CARGO";"ESTRANGEIRA NÃO REGULAR";"RUA PRESIDENTE JOÃO GOULART 529, JARDIM CHAPADÃO ";"CAMPINAS";"SP";"0";"N/I";"vmorelli@platinumglobal.com.br; morellivanderlei@gmail.com";"Ofício nº 108/2026/GEAM Empresas/GEAM/SAS-ANAC";"6/2/2026 12:00:00 AM";"ATIVA"
"UAL";"UA";"UNITED AIRLINES, INC";"ESTRANGEIRA REGULAR";"AVENIDA PAULISTA, Nº 777, CONJ 81, 82, 91 E 92 - BAIRRO: CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"01.311-100";"(11) 3145-6186";"legal.brazil@united.com";"Decisão nº 121, de 05 de novembro de 2013";"11/5/2013 12:00:00 AM";"ATIVA"
"GTI";"5Y";"ATLAS AIR INC";"ESTRANGEIRA REGULAR";"R HADDOCK LOBO, 578, 10° ANDAR, CONJUNTO 101, SALA A, CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"01.414-000";"(11) 3284-3900 / (11) 3284-3900";"everson.corazza@atlasair.com";"";"null";"ATIVA"
"LAP";"PZ";"TRANSPORTE AÉREOS DEL MERCOSUR S.A. (TAM MERCOSUR)";"ESTRANGEIRA REGULAR";"AV. JURANDIR, 856, HANGAR 7, JARDIM CECI/AEROPORTO";"SÃO PAULO";"SP";"04.072-000";"(11) 5582-6113";"gar@latam.com";"";"null";"ATIVA"
"GEC";"G0";"LUFTHANSA CARGO AG";"ESTRANGEIRA REGULAR";"RUA GOMES DE CARVALHO, Nº 1108, 6º ANDAR - VILA OLIMPIA";"SÃO PAULO";"SP";"04.547-004";"11 3048-5808 / (11) 3061-1620";"carsten.hering@dlh.de";"";"null";"ATIVA"
"RCR";"NJ";"ROMCARGO AIRLINES SRL";"ESTRANGEIRA NÃO REGULAR";"RUA PRESIDENTE JOÃO GOULART 529, JARDIM CHAPADÃO ";"CAMPINAS";"SP";"0";"19 99136 9264";"morelli@platinumglobal.com.br; morellivanderlei@gmail.com";"Ofício nº 80/2026/GEAM Empresas/GEAM/SAS-ANAC";"4/30/2026 12:00:00 AM";"ATIVA"
"RZN";"GI";"GRIDIRON AIR LLC.";"ESTRANGEIRA NÃO REGULAR";"RUA TUIUTI, 506-508 – CENTRO";"INDAIATUBA";"SP";"13.339-010";"41 992469124";"occ@flightsupportbrazil.com";"Ofício nº 112/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13435350)";"6/8/2026 12:00:00 AM";"ATIVA"
"CHZ";"X6";"CHALLENGE AIRCARGO LTD.";"ESTRANGEIRA NÃO REGULAR";"ALAMEDA SANTOS, 2224 - 2º ANDAR - CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"01.418-200";"21-22200488";"luisa@diciero.adv.br";"Ofício nº 48/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 12989907)";"3/16/2026 12:00:00 AM";"ATIVA"
"RAM";"AT";"COMPAGNIE NATIONALE ROYAL AIR MAROC";"ESTRANGEIRA REGULAR";"AV. BRIGADEIRO FARIA LIMA, 3144, 3º ANDAR, SALA 306, JARDIM PAULISTANO";"SÃO PAULO";"SP";"01.451-000";"(11) 3568-2562";"meelyaalaoui@royalairmaroc.com";"";"null";"ATIVA"
"WIN";"A7";"TM AEROLÍNEAS S.A. DE C.V. (AWESOME CARGO)";"ESTRANGEIRA REGULAR";"RUA TABAPUÃ, 827 - 3º ANDAR, CONJ. 31, SALA 8 - ITAIM BIBI";"SÃO PAULO";"SP";"04.533-013";"11 93904-8083 e 11 3168-8694";"pcreps@pcreps.com.br; 	neil.montgomery@montgomery.adv.br";"";"3/9/2026 12:00:00 AM";"ATIVA"
"BOV";"OB";"BOA BOLIVIANA DE AVIACIÓN";"ESTRANGEIRA REGULAR";"AVENIDA ANGELICA, 2491, CONJUNTO 102, SANTA CECILIA";"SÃO PAULO";"SP";"01.227-000";"(11) 3129-8751 ";"vpalenque@boa.bo";"";"null";"ATIVA"
"CMP";"CM";"COMPAÑIA PANAMEÑA DE AVIACION S.A. (COPA AIRLINES)";"ESTRANGEIRA REGULAR";"AVENIDA PAULISTA, 1337, 4º ANDAR, CONJUNTOS 41 E 42, BELA VISTA ";"SÃO PAULO";"SP";"01.311-200";"(21) 2220-0488";"luisa@diciero.adv.br";"";"null";"ATIVA"
"WJA";"WS";"WESTJET AIRLINES LTD";"ESTRANGEIRA NÃO REGULAR";"AV. IPIRANGA, Nº 318, BLOCO A, 5º ANDAR";"SÃO PAULO";"SP";"0";" 11 3214 – 7500 11 91522 6181";"d.roman@apg-ga.com";"Ofício nº 73/2026/GEAM Empresas/GEAM/SAS-ANAC";"4/24/2026 12:00:00 AM";"ATIVA"
"LRC";"LR";"AVIANCA COSTA RICA SOCIEDAD ANONIMA ( EX - LACSA LÍNEAS AÉREAS COSTARRICENSES S/A)";"ESTRANGEIRA REGULAR";" AVENIDA PAULISTA, 2064 – 14ª ANDAR, BELA VISTA ";"SÃO PAULO";"SP";"01.310-928";"(45) 99966-7893";"camila.leao@avianca.com";"";"null";"ATIVA"
"LPE";"LP";"LATAM AIRLINES PERU (EX-LAN PERU S.A.)";"ESTRANGEIRA REGULAR";"RUA ÁTICA, Nº 673, SALA 5002, BAIRRO JARDIM BRASIL";"SÃO PAULO";"SP";"04.634-042";"(11) 5171-0656";"gar@latam.com";"";"null";"ATIVA"
"";"..";"HAHN AIR LINES GMBH";"ESTRANGEIRA OFFLINE";"AVENIDA PAULISTA, 2300, ANDAR: PILOTIS, BELA VISTA";"SÃO PAULO";"SP";"01.310-300";"(11) 27290258";"fiscal@contatur.com.br";"";"null";"ATIVA"
"AAL";"AA";"AMERICAN AIRLINES, INC.";"ESTRANGEIRA REGULAR";"RUA DR. FERNANDES COELHO, Nº 64, 7º AO 9º ANDARES - PINHEIROS";"SÃO PAULO";"SP";"05.423-040";"(11) 4502-2150/ (11) 3041-5135";"dilson.vercosa@aa.com";"";"null";"ATIVA"
"TCV";"VR";"EMPRESA DE TRANSPORTES AÉREOS DE CABO VERDE - TACV S.A.";"ESTRANGEIRA REGULAR";"AV SENADOR CARLOS JEREISSATI 3000 - BAIRRO SERRINHA";"FORTALEZA";"CE";"60.741-900";"(85) 33921354";"cpaivalaw@uol.com.br";"";"null";"ATIVA"
"DAL";"DL";"DELTA AIR LINES INC.";"ESTRANGEIRA REGULAR";"AV PRESIDENTE ANTONIO CARLOS, 58, 9° ANDAR, CONJ B, CENTRO";"RIO DE JANEIRO";"RJ";"20.020-010";"(11) 3041-5135 / (11) 3041-5135	";"lcosta@beslaw.com.br";"";"null";"ATIVA"
"BOL";"2L";"TRANSPORTES AEREOS BOLIVIANOS";"ESTRANGEIRA NÃO REGULAR";"RUA PRESIDENTE JOÃO GOULART, 529, JARDIM CHAPADÃO";"CAMPINAS";"SP";"17.070-060";"00";"permit.brazil@gmail.com; morellivanderelei@gmail.com";"Ofício nº 69/2025/GEAM Empresas/GEAM/SAS-ANAC";"9/4/2026 12:00:00 AM";"ATIVA"
"APK";"P4";"AIR PEACE LTD.";"ESTRANGEIRA REGULAR";"RUA TABAPUÃ, 827, 3º ANDAR, CONJ. 31, SALA 17, ITAIM BIBI";"SÃO PAULO";"SP";"04.533-013";"11 3168-8694";"pcreps@pcresps.com.br";"";"null";"ATIVA"
"CHG";"X7";"CHALLENGE AIRLINES (BE) S.A.";"ESTRANGEIRA NÃO REGULAR";"RUA JORNALISTTA PIERRE PLANCHER 280/501";"RIO DE JANEIRO";"RJ";"22.630-070";"21-22200488  e 21-999745708";"luisa@diciero.adv.br";"Ofício nº 123/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13486447)";"6/17/2026 12:00:00 AM";"ATIVA"
"ARE";"4C";"AIRES - AEROVÍAS DE INTEGRACÍON REGIONAL S.A.";"ESTRANGEIRA REGULAR";"RUA ÁTICA, Nº 673, SALA 5004,  BAIRRO JARDIM BRASIL";"SÃO PAULO";"SP";"04.634-042";"(11) 5171-0656";"gar@latam.com";"";"null";"ATIVA"
"CJT";"W8";"CARGOJET AIRWAYS LTD.";"ESTRANGEIRA REGULAR";"AVENIDA PAULISTA 1765, CONJUNTO 121";"SÃO PAULO";"SP";"01.311-930";"(11) 2720-0930 / (11) 98415-8002 / (11) 98596-1701";"gisela@maldonadoleal.com";"";"11/8/2021 12:00:00 AM";"ATIVA"
"ADZ";"HQ";"COMPASS CARGO AIRLINES EOOD";"ESTRANGEIRA NÃO REGULAR";"RUA TUIUTI, 506-508 – CENTRO";"INDAIATUBA";"SP";"13.339-010";"41 992469124 ";"occ@flightsupportbrazil.com";"Ofício nº 150/2026/GEAM Empresas/GEAM/SSA-ANAC (SEI 13716543)";"8/10/2026 12:00:00 AM";"ATIVA"
"CRV";"-";"ACROPOLIS AVIATION LIMITED";"ESTRANGEIRA NÃO REGULAR";"ALAMEDA DOS MARACATINS, 508 – 9º ANDAR";"SÃO PAULO";"SP";"04.089-001";"(11) 3167-1949 e (11) 99972-6482";"rmaluf@maluferodrigues.adv.br";"Ofício nº 161/2026/GEAM Empresas/GEAM/SSA-ANAC (SEI 13830624)";"9/4/2026 12:00:00 AM";"ATIVA"
"CPA";"CX+";"CATHAY PACIFIC AIRWAYS LIMITED";"ESTRANGEIRA OFFLINE";"AVENIDA ERASMO BRAGA Nº 227 - GRUPO 905-908 P - CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"(21) 2524-2446 / 2211-0011";"tatiana@aeromartel.com.br";"";"null";"ATIVA"
"DSM";"4M";"LAN ARGENTINA S.A.";"ESTRANGEIRA REGULAR";"RUA VERBO DIVINO, 2001 - 16º ANDAR   CEP: 04.719-002 - CHÁCARA SANTO ANTÔNIO/SP";"SÃO PAULO";"SP";"04.719-002";"(11) 5171-0669 / 5171-0664";"tatiane.viana@latam.com";"";"null";"ATIVA"
"LAN";"LA";"LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A)";"ESTRANGEIRA REGULAR";"RUA ÁTICA, Nº 673, SALA 5001, JARDIM BRASIL ";"SÃO PAULO";"SP";"04.634-042";"(11) 5171-0656 ";"felipe.pumarino@latam.com/tatianae.viana@latam.com";"Portaria 126/GM5 de 8 de fevereiro de 1995";"2/8/1995 12:00:00 AM";"ATIVA"
"TVR";"0T";"CA TERRA AVIA SRL";"ESTRANGEIRA NÃO REGULAR";"RUA GARIBALDI , 256 – TIJUCA";"RIO DE JANEIRO";"RJ";"20.511-330";"(21) 2570-9725 e (21) 99336-8614";"d.pontes@dmxflights.com.br";"Ofício nº 134/2026/GEAM Empresas/GEAM/SAS-ANAC";"7/6/2026 12:00:00 AM";"ATIVA"
"NCR";"N8";"NATIONAL AIRLINES";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 - GRUPO 905/908 - CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"(21) 2524-2446/(21) 98148-6698";"ops@aeromartel.com.br";"Ofício nº 155/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13789300)";"9/2/2026 12:00:00 AM";"ATIVA"
"DAE";"D5";"DHL AERO EXPRESO";"ESTRANGEIRA REGULAR";"AVENIDA MANUEL BANDEIRA, 291, ATLAS OFFICE PARK, BLOCO D, 3° ANDAR";"SÃO PAULO";"SP";"05.317-020";"(11) 4861-3900";"crislocateli@pryorglobal.com; eangelis@beslaw.com.br";"";"null";"ATIVA"
"ATG";"F5";"AEROTRANSCARGO SRL";"ESTRANGEIRA NÃO REGULAR";"RUA PRESIDENTE JOÃO GOULART, 529, JARDIM CHAPADÃO";"CAMPINAS";"SP";"0";"0000000";"permit.brazil@gmail.com; morellivanderelei@gmail.com";"Ofício nº 78/2026/GEAM Empresas/GEAM/SAS-ANAC";"4/27/2026 12:00:00 AM";"ATIVA"
"CFG";"DE";"CONDOR FLUGDIENST GMBH";"ESTRANGEIRA REGULAR";"Rua Rafael de Barros, 210, 4 andar, sala 42, Paraíso";"SÃO PAULO";"SP";"04.003-040";"N/I";"N/I";"";"null";"ATIVA"
"TKY";"9I";"ALL NIPPON AIRWAYS CO.LTD";"ESTRANGEIRA OFFLINE";"PRAÇA  DA LIBERDADE NÚMERO: 130 1º ANDAR -  COMPLEMENTO CONJ 16 E 17 BAIRRO: LIBERDADE";"SÃO PAULO";"SP";"01.503-010";"(11) 3346-5762	";"N/I";"";"null";"ATIVA"
"FIN";"AY";"FINNAIR PLC";"ESTRANGEIRA OFFLINE";"N/I";"N/I";"N/I";"00.000-000";"N/I";"N/I";"";"null";"ATIVA"
